OBJECTID,Geo_UID,Grid_Num,longitude,latitude,Baseline,F_2050,F_2080,Shape_Length,Shape_Area,Mid_Cent,Late_Cent,Shape__Area,Shape__Length
1,32.75-118.4375,17562,-118.4375,32.75,2.9133,-1.34,-1.97,0.1104172,0.0003124653,1.573,0.943,4606829.55859375,12910.0613097971
2,32.8125-118.375,17742,-118.375,32.8125,4.2058,-1.87,-2.67,0.1217723,0.000580457,2.336,1.536,8559596.7578125,14604.0186867113
3,32.8125-118.4375,17563,-118.4375,32.8125,19.155,-6.92,-10.6,0.2258231,0.003189656,12.235,8.555,47044130.8945313,27497.1928258196
4,32.8125-118.5,17384,-118.5,32.8125,12.5058,-4.22,-6.74,0.2184127,0.002354185,8.286,5.766,34726946.40625,26584.1682979099
5,32.8125-118.5625,17205,-118.5625,32.8125,2.8242,-1.05,-1.66,0.005117934,9.255045e-07,1.774,1.164,13655.55859375,598.439163624684
6,32.875-118.4375,17564,-118.4375,32.875,13.3308,-3.97,-7.32,0.06397223,0.000172023,9.361,6.011,2538318.6484375,7690.02677388388
7,32.875-118.5,17385,-118.5,32.875,15.0442,-4.55,-7.58,0.2204901,0.002530097,10.494,7.464,37340500.0507813,26877.3513845406
8,32.875-118.5625,17206,-118.5625,32.875,9.0692,-4.79,-6.29,0.1870639,0.00160617,4.279,2.779,23709166.6875,23302.9966547297
9,32.9375-118.5625,17207,-118.5625,32.9375,7.4817,-3.63,-4.56,0.2101126,0.002323097,3.852,2.922,34311651.8710938,25731.465079116
10,32.9375-118.625,17028,-118.625,32.9375,1.1017,-0.64,-0.79,0.08972982,0.0002280637,0.462,0.312,3369335.52734375,11480.2185563958
11,33-118.5625,17208,-118.5625,33,0,0,0,0.07209437,0.000221019,0,0,3266075.23046875,9092.60250858479
12,33-118.625,17029,-118.625,33,1.6,-1.13,-1.38,0.132171,0.0007145655,0.47,0.22,10560025.15625,16067.1852219784
13,33.25-118.3125,17928,-118.3125,33.25,3.645,0.92,0.19,0.0302322,4.339209e-05,4.565,3.835,643423.4296875,3672.67035695674
14,33.25-118.375,17749,-118.375,33.25,8.1875,0.76,0.5,0.09981897,0.0003782503,8.948,8.688,5608586.2265625,11618.1409662626
15,33.3125-118.3125,17929,-118.3125,33.3125,4.205,1.14,0.25,0.06407242,0.0001481834,5.345,4.455,2197597.71875,8178.15714344816
16,33.3125-118.375,17750,-118.375,33.3125,15.7617,1.43,0.03,0.2435034,0.00305933,17.192,15.792,45379946.0546875,29762.2835704765
17,33.3125-118.4375,17571,-118.4375,33.3125,18.3133,1.89,1.11,0.2450013,0.003451026,20.203,19.423,51194475.3789063,29991.9605969692
18,33.3125-118.5,17392,-118.5,33.3125,15.7983,0.39,-0.85,0.2347594,0.002217214,16.188,14.948,32892653.5820313,28661.3281983436
19,33.375-118.375,17751,-118.375,33.375,7.4058,1.01,0.18,0.1263551,0.0003425695,8.416,7.586,5084240.38671875,15632.7354924382
20,33.375-118.4375,17572,-118.4375,33.375,16.015,1.73,1.83,0.2406114,0.00282728,17.745,17.845,41965908.28125,29425.7488878335
21,33.375-118.5,17393,-118.5,33.375,17.6558,3.24,1.92,0.2923509,0.002954842,20.896,19.576,43864393.9453125,35430.7545781406
22,33.375-118.5625,17214,-118.5625,33.375,5.6342,0.92,0.23,0.2312744,0.0004092154,6.554,5.864,6076487.015625,27648.9227788937
23,33.375-118.625,17035,-118.625,33.375,2.1758,0.24,0.56,0.01368637,5.200557e-06,2.416,2.736,77226.41015625,1681.40739884671
24,33.4375-118.5,17394,-118.5,33.4375,6.2358,0.67,0.5,0.1278703,0.0002337455,6.906,6.736,3471260.47265625,15160.5251838158
25,33.4375-118.5625,17215,-118.5625,33.4375,7.3092,0.33,0.1,0.2334279,0.001813175,7.639,7.409,26930361.421875,28147.9244117928
26,33.4375-118.625,17036,-118.625,33.4375,2.6192,0.49,0.34,0.2021801,0.0008668236,3.109,2.959,12875778.5039063,24806.6944951692
27,33.6875-118.125,18472,-118.125,33.6875,6.5358,-2.43,-2.37,0.04813888,3.397725e-05,4.106,4.166,506377.13671875,5828.51616882981
28,33.6875-118.1875,18293,-118.1875,33.6875,0,0,0,0.05241305,2.556323e-05,0,0,380946.9765625,6472.32142246431
29,33.6875-118.25,18114,-118.25,33.6875,0,0,0,0.3355203,0.0004126415,0,0,6149174.98828125,40519.2049151246
30,33.6875-118.3125,17935,-118.3125,33.6875,0,0,0,0.4599186,0.001902446,0,0,28347557.0507813,56315.6677653077
31,33.6875-118.375,17756,-118.375,33.6875,0,0,0,0.1901327,0.001460774,0,0,21767747.2695313,22769.9345223928
32,33.6875-118.4375,17577,-118.4375,33.6875,0,0,0,0.1041966,0.0003702898,0,0,5518393.98828125,12285.5716684133
33,33.75-118.125,18473,-118.125,33.75,0.9317,-0.43,-0.4,0.3432862,0.002015336,0.502,0.532,30048512.9609375,41933.4351674877
34,33.75-118.1875,18294,-118.1875,33.75,0,0,0,0.3276723,0.003340212,0,0,49802206.15625,39913.2901646328
35,33.75-118.25,18115,-118.25,33.75,0,0,0,0.5665026,0.003487586,0,0,51998258.03125,68664.9277995871
36,33.75-118.3125,17936,-118.3125,33.75,0,0,0,0.4202926,0.003698793,0,0,55146351.0273438,51543.564894823
37,33.75-118.375,17757,-118.375,33.75,0,0,0,0.25,0.00390625,0,0,58238768.625,30656.2962341906
38,33.75-118.4375,17578,-118.4375,33.75,0,0,0,0.2208237,0.002388817,0,0,35613695.1796875,27123.3496449608
39,33.8125-118.0625,18653,-118.0625,33.8125,0,0,0,0.1862627,0.0006974043,0,0,10407669.484375,22653.5625547018
40,33.8125-118.125,18474,-118.125,33.8125,0,0,0,0.2447537,0.003842222,0,0,57326425.8320313,30015.1336188908
41,33.8125-118.1875,18295,-118.1875,33.8125,0,0,0,0.25,0.00390625,0,0,58281229.2539063,30668.5064197014
42,33.8125-118.25,18116,-118.25,33.8125,0,0,0,0.25,0.00390625,0,0,58281028.4648438,30668.4486609281
43,33.8125-118.3125,17937,-118.3125,33.8125,0,0,0,0.25,0.00390625,0,0,58281341.3945313,30668.5235667553
44,33.8125-118.375,17758,-118.375,33.8125,0,0,0,0.25,0.00390625,0,0,58281550.9726563,30668.5838136557
45,33.8125-118.4375,17579,-118.4375,33.8125,0,0,0,0.2143429,0.001342578,0,0,20032525.0078125,26922.0069125235
46,33.875-118,18833,-118,33.875,0,0,0,0.1455868,0.0009636723,0,0,14390401.3828125,18455.2145562461
47,33.875-118.0625,18654,-118.0625,33.875,0,0,0,0.2500958,0.003818576,0,0,57015510.5078125,30690.0026411115
48,33.875-118.125,18475,-118.125,33.875,0,0,0,0.25,0.00390625,0,0,58323960.1835938,30680.7980577184
49,33.875-118.1875,18296,-118.1875,33.875,0,0,0,0.25,0.00390625,0,0,58323758.2539063,30680.740013086
50,33.875-118.25,18117,-118.25,33.875,0,0,0,0.25,0.00390625,0,0,58323557.1679688,30680.6821687207
51,33.875-118.3125,17938,-118.3125,33.875,0,0,0,0.25,0.00390625,0,0,58324256.296875,30680.8491608042
52,33.875-118.375,17759,-118.375,33.875,0,0,0,0.25,0.00390625,0,0,58324466.1835938,30680.9094969092
53,33.875-118.4375,17580,-118.4375,33.875,0,0,0,0.2303032,0.003070567,0,0,45848796.3945313,28373.465087291
54,33.875-118.5,17401,-118.5,33.875,0,0,0,0.01494987,7.834115e-06,0,0,117012.74609375,1919.53927618973
55,33.9375-117.8125,19371,-117.8125,33.9375,20.5842,-10.45,-9.98,0.178982,0.0009397133,10.134,10.604,14041870.4257813,22239.5512410493
56,33.9375-117.875,19192,-117.875,33.9375,10.6317,-4.81,-5.04,0.2324961,0.003336313,5.822,5.592,49853974.3789063,28345.5508389396
57,33.9375-117.9375,19013,-117.9375,33.9375,4.7392,-1.37,-1.86,0.2353105,0.003364997,3.369,2.879,50282479.3984375,28723.7616151021
58,33.9375-118,18834,-118,33.9375,2.2708,-0.72,-0.98,0.2499593,0.003571907,1.551,1.291,53373171.2109375,30688.0304470164
59,33.9375-118.0625,18655,-118.0625,33.9375,0.6983,-0.18,-0.27,0.25,0.00390625,0.518,0.428,58366821.8789063,30693.1273581961
60,33.9375-118.125,18476,-118.125,33.9375,0,0,0,0.25,0.00390625,0,0,58366619.6601563,30693.069228237
61,33.9375-118.1875,18297,-118.1875,33.9375,0,0,0,0.25,0.00390625,0,0,58366417.4375,30693.0110987736
62,33.9375-118.25,18118,-118.25,33.9375,0,0,0,0.25,0.00390625,0,0,58366216.0507813,30692.9531699949
63,33.9375-118.3125,17939,-118.3125,33.9375,0,0,0,0.25,0.00390625,0,0,58367301.9453125,30693.2122473341
64,33.9375-118.375,17760,-118.375,33.9375,0,0,0,0.25,0.00390625,0,0,58367512.1484375,30693.2726726913
65,33.9375-118.4375,17581,-118.4375,33.9375,0,0,0,0.25,0.00390625,0,0,58367722.359375,30693.333099158
66,33.9375-118.5,17402,-118.5,33.9375,0,0,0,0.354188,0.001381598,0,0,20646672.2695313,42931.824488138
67,34-117.75,19551,-117.75,34,0,0,0,0.1370481,0.00105434,0,0,15767876.84375,17170.1116513171
68,34-117.8125,19372,-117.8125,34,5.3167,-2.03,-2.16,0.2511577,0.003425944,3.287,3.157,51230710.2578125,30898.8337165019
69,34-117.875,19193,-117.875,34,6.3917,-2.69,-2.86,0.25,0.00390625,3.702,3.532,58410886.828125,30705.7705507473
70,34-117.9375,19014,-117.9375,34,0,0,0,0.25,0.00390625,0,0,58410794.8554688,30705.7441143031
71,34-118,18835,-118,34,0.8258,-0.04,-0.35,0.25,0.00390625,0.786,0.476,58410702.890625,30705.7176773812
72,34-118.0625,18656,-118.0625,34,3.1158,0.08,-1.09,0.25,0.00390625,3.196,2.026,58410235.9609375,30705.607068472
73,34-118.125,18477,-118.125,34,0,0,0,0.25,0.00390625,0,0,58410353.2304688,30705.6407810617
74,34-118.1875,18298,-118.1875,34,0,0,0,0.25,0.00390625,0,0,58410470.5078125,30705.6744915736
75,34-118.25,18119,-118.25,34,0,0,0,0.25,0.00390625,0,0,58410588.609375,30705.7084001586
76,34-118.3125,17940,-118.3125,34,0,0,0,0.25,0.00390625,0,0,58411649.6796875,30705.9601576262
77,34-118.375,17761,-118.375,34,0,0,0,0.25,0.00390625,0,0,58411490.9453125,30705.9145260829
78,34-118.4375,17582,-118.4375,34,0,0,0,0.25,0.00390625,0,0,58411332.1796875,30705.8688880596
79,34-118.5,17403,-118.5,34,0,0,0,0.2435789,0.003840789,0,0,57432638.96875,29920.2835024968
80,34-118.5625,17224,-118.5625,34,0,0,0,0.2087684,0.002018441,0,0,30186662.484375,25374.2375915617
81,34-118.625,17045,-118.625,34,16.1225,5.51,5.33,0.1746434,0.001472051,21.633,21.453,22016613.0742188,20642.122610345
82,34-118.6875,16866,-118.6875,34,18.1742,7.93,10.05,0.1852776,0.001600148,26.104,28.224,23932186.1289063,22078.9987338322
83,34-118.75,16687,-118.75,34,23.6433,9.28,10.36,0.1891617,0.001916669,32.923,34.003,28665340.5039063,22567.8364763031
84,34-118.8125,16508,-118.8125,34,31.6575,3.06,6.14,0.2304397,0.002796514,34.718,37.798,41820183.375,28265.7075465848
85,34-118.875,16329,-118.875,34,26.5925,5.38,7.13,0.2170347,0.002241508,31.973,33.723,33522046.4335938,26492.6206156487
86,34-118.9375,16150,-118.9375,34,15.7608,3.78,4.74,0.1724408,0.001307578,19.541,20.501,19556955.3476563,20345.6962733442
87,34-119,15971,-119,34,11.3942,3.21,3.08,0.04922768,0.0001108585,14.604,14.474,1658090.6171875,6336.10956473594
88,34.0625-117.75,19552,-117.75,34.0625,6.93,0.13,-0.01,0.2197421,0.002799309,7.06,6.92,41890842.5664063,27255.3603052614
89,34.0625-117.8125,19373,-117.8125,34.0625,7.07,0.62,0.25,0.25,0.00390625,7.69,7.32,58454127.2539063,30718.1977853872
90,34.0625-117.875,19194,-117.875,34.0625,5.9358,-0.26,-0.81,0.25,0.00390625,5.676,5.126,58454034.3125,30718.1711111936
91,34.0625-117.9375,19015,-117.9375,34.0625,0,0,0,0.25,0.00390625,0,0,58453942.21875,30718.1446354769
92,34.0625-118,18836,-118,34.0625,0,0,0,0.25,0.00390625,0,0,58453850.1015625,30718.1181597096
93,34.0625-118.0625,18657,-118.0625,34.0625,0,0,0,0.25,0.00390625,0,0,58453505.9023438,30718.0368502598
94,34.0625-118.125,18478,-118.125,34.0625,0,0,0,0.25,0.00390625,0,0,58453623.359375,30718.0706155549
95,34.0625-118.1875,18299,-118.1875,34.0625,0,0,0,0.25,0.00390625,0,0,58453740.8203125,30718.1043810982
96,34.0625-118.25,18120,-118.25,34.0625,0,0,0,0.25,0.00390625,0,0,58453859.1210938,30718.1383479873
97,34.0625-118.3125,17941,-118.3125,34.0625,0,0,0,0.25,0.00390625,0,0,58454532.3242188,30718.2975785529
98,34.0625-118.375,17762,-118.375,34.0625,0,0,0,0.25,0.00390625,0,0,58454373.296875,30718.2518666914
99,34.0625-118.4375,17583,-118.4375,34.0625,1.705,-1.15,-1.27,0.25,0.00390625,0.555,0.435,58454214.2734375,30718.2061543439
100,34.0625-118.5,17404,-118.5,34.0625,0,0,0,0.25,0.00390625,0,0,58454055.21875,30718.1604366039
101,34.0625-118.5625,17225,-118.5625,34.0625,0,0,0,0.25,0.00390625,0,0,58453226.9414063,30717.9602362281
102,34.0625-118.625,17046,-118.625,34.0625,16.4058,3.7,4.33,0.25,0.00390625,20.106,20.736,58453263.4414063,30717.9707298226
103,34.0625-118.6875,16867,-118.6875,34.0625,23.2375,3.96,4.73,0.25,0.00390625,27.198,27.968,58453299.9414063,30717.9812233988
104,34.0625-118.75,16688,-118.75,34.0625,27.37,2.9,3.92,0.25,0.00390625,30.27,31.29,58453337.2851563,30717.9919167227
105,34.0625-118.8125,16509,-118.8125,34.0625,33.5158,0.97,3.25,0.25,0.00390625,34.486,36.766,58453331.8632813,30717.9906697857
106,34.0625-118.875,16330,-118.875,34.0625,27.1233,2.96,4.4,0.2431056,0.0038311,30.083,31.523,57328380.03125,29852.784360683
107,34.0625-118.9375,16151,-118.9375,34.0625,29.0992,4.97,6.19,0.2032258,0.002105601,34.069,35.289,31503604.5859375,24676.3660766877
108,34.0625-119,15972,-119,34.0625,26.6692,8.89,9.1,0.03600689,5.611673e-05,35.559,35.769,839485.41015625,4652.55802383211
109,34.125-117.6875,19732,-117.6875,34.125,23.1733,5.11,5.75,0.1199861,0.0004143164,28.283,28.923,6205493.6953125,15683.0293922233
110,34.125-117.75,19553,-117.75,34.125,22.9358,5.72,6.76,0.2462318,0.003879447,28.656,29.696,58095650.3203125,30294.324101705
111,34.125-117.8125,19374,-117.8125,34.125,20.1458,3.94,4.14,0.25,0.00390625,24.086,24.286,58497408.2421875,30730.6366997233
112,34.125-117.875,19195,-117.875,34.125,22.34,4,5.49,0.25,0.00390625,26.34,27.83,58497315.1757813,30730.6099881017
113,34.125-117.9375,19016,-117.9375,34.125,23.7183,3.82,3.48,0.25,0.00390625,27.538,27.198,58497222.9296875,30730.583473054
114,34.125-118,18837,-118,34.125,26.7592,1.1,2.74,0.25,0.00390625,27.859,29.499,58497130.6875,30730.5569581236
115,34.125-118.0625,18658,-118.0625,34.125,21.9458,-4.93,-4.44,0.25,0.00390625,17.016,17.506,58496909.390625,30730.504947548
116,34.125-118.125,18479,-118.125,34.125,6.2983,0.81,-0.29,0.25,0.00390625,7.108,6.008,58497027.0234375,30730.5387630089
117,34.125-118.1875,18300,-118.1875,34.125,0,0,0,0.25,0.00390625,0,0,58497144.6601563,30730.5725787136
118,34.125-118.25,18121,-118.25,34.125,0,0,0,0.25,0.00390625,0,0,58497263.1328125,30730.606595921
